# Stars — format: id,name,ra_hours,dec_degrees,magnitude,type
# To expand: replace with HYG Database CSV (github.com/astronexus/HYG-Database)
# Stars from HYG Database — id,name,ra_hours,dec_degrees,magnitude,type
HIP352,HIP 352,0.074078,58.068692,10.42,star
HIP353,HIP 353,0.074107,-44.56729,11.63,star
HIP354,HIP 354,0.07489,51.829292,9.22,star
HIP355,3    Cet,0.075033,-10.509523,4.99,star
HIP356,HIP 356,0.07504,-6.965379,8.43,star
HIP357,HIP 357,0.075148,-72.897321,7.33,star
HIP358,HIP 358,0.07596,-76.346492,8.93,star
HIP359,HIP 359,0.076313,-76.873574,9.09,star
HIP360,HIP 360,0.076367,71.968543,9.26,star
HIP361,HIP 361,0.076522,-71.695006,8.73,star
HIP362,HIP 362,0.076708,-19.437893,9.18,star
HIP363,HIP 363,0.07678,43.551312,8.12,star
HIP364,HIP 364,0.076802,-15.889228,9.26,star
HIP366,HIP 366,0.076833,-31.16905,8.94,star
HIP365,HIP 365,0.07683,42.09253,6.11,star
HIP367,HIP 367,0.077041,-81.345318,9.13,star
HIP368,HIP 368,0.077075,2.937228,7.9,star
HIP369,HIP 369,0.077259,29.72228,9.34,star
HIP370,HIP 370,0.077295,-51.583329,7.13,star
HIP371,HIP 371,0.077358,-50.035925,10.82,star
HIP372,HIP 372,0.07772,-70.40426,7.46,star
HIP373,HIP 373,0.077732,-8.184953,8.72,star
HIP374,HIP 374,0.0778,34.265124,7.02,star
HIP375,HIP 375,0.07784,34.27136,9.08,star
HIP376,HIP 376,0.078093,6.522449,8.37,star
HIP377,HIP 377,0.078131,-71.436891,5.59,star
HIP378,HIP 378,0.078129,14.965233,7.37,star
HIP379,HIP 379,0.078304,67.166445,5.68,star
HIP380,HIP 380,0.078543,17.069735,8.56,star
HIP381,HIP 381,0.079014,51.533838,8.72,star
HIP382,HIP 382,0.079208,-32.361045,9.06,star
HIP383,HIP 383,0.079259,0.056502,8.82,star
HIP384,HIP 384,0.079521,1.536895,8.18,star
HIP385,HIP 385,0.079681,38.173668,9.39,star
HIP386,HIP 386,0.080263,68.188694,9.1,star
HIP387,HIP 387,0.080542,38.786214,8.46,star
HIP388,HIP 388,0.080682,6.416652,9.15,star
HIP389,HIP 389,0.080784,-29.633039,8.28,star
HIP390,HIP 390,0.080783,50.234871,11.67,star
HIP391,HIP 391,0.080783,43.970719,8.18,star
HIP392,HIP 392,0.081113,30.08585,7.93,star
HIP393,HIP 393,0.081222,51.982586,9.21,star
HIP394,HIP 394,0.081573,34.659797,6.09,star
HIP395,HIP 395,0.08148,-30.256604,8.31,star
HIP396,HIP 396,0.081641,-31.996653,7.83,star
HIP397,HIP 397,0.081689,52.248933,8.72,star
HIP398,HIP 398,0.081937,58.532166,6.61,star
HIP399,HIP 399,0.08222,26.648764,6.25,star
HIP400,HIP 400,0.082306,23.269629,7.82,star
HIP401,HIP 401,0.082281,56.05695,8.66,star
HIP402,HIP 402,0.082328,64.78142,8.15,star
HIP403,HIP 403,0.082478,-18.178726,8.97,star
HIP405,HIP 405,0.082634,51.180643,8.15,star
HIP404,HIP 404,0.082644,45.673793,7.47,star
HIP406,HIP 406,0.082932,26.725262,8.63,star
HIP407,HIP 407,0.08296,-70.212445,8.13,star
HIP408,HIP 408,0.083006,57.468738,8.23,star
HIP409,HIP 409,0.083072,-70.492483,8.41,star
HIP410,HIP 410,0.083662,27.674784,6.47,star
HIP411,HIP 411,0.083776,33.36001,9.83,star
HIP412,HIP 412,0.083844,66.51679,8.64,star
HIP413,HIP 413,0.084057,-36.015121,7.73,star
HIP414,HIP 414,0.08415,-59.828121,8.64,star
HIP415,HIP 415,0.084255,9.279961,8.94,star
HIP416,HIP 416,0.084311,1.03771,8.84,star
HIP417,HIP 417,0.084395,-0.503035,6.32,star
HIP418,HIP 418,0.085039,61.31397,5.8,star
HIP419,HIP 419,0.085236,-42.567868,8.97,star
HIP420,HIP 420,0.085427,-52.151741,7.53,star
HIP422,HIP 422,0.085785,67.840003,7.41,star
HIP423,HIP 423,0.085899,30.329032,7.8,star
HIP425,HIP 425,0.086042,-62.84522,8.14,star
HIP424,HIP 424,0.086046,45.229029,6.71,star
HIP427,HIP 427,0.086103,-43.850831,8.73,star
HIP426,HIP 426,0.086109,30.331217,9.37,star
HIP429,HIP 429,0.086162,2.397208,8.69,star
HIP428,HIP 428,0.086297,45.786567,9.95,star
HIP430,HIP 430,0.086186,-32.468672,7.1,star
HIP431,HIP 431,0.086804,36.303671,8.09,star
HIP432,HIP 432,0.086946,35.571012,6.88,star
HIP433,HIP 433,0.087459,3.007405,9.48,star
HIP434,HIP 434,0.087587,-27.271708,9.04,star
HIP435,HIP 435,0.087579,-49.142141,9.3,star
HIP436,HIP 436,0.088278,-67.83259,8.49,star
HIP437,HIP 437,0.0883,48.477171,8.3,star
HIP438,HIP 438,0.088467,-1.794085,7.95,star
HIP440,HIP 440,0.088857,68.884433,7.08,star
HIP441,HIP 441,0.088876,-38.857152,6.93,star
HIP442,HIP 442,0.088894,-21.315338,8.38,star
HIP443,33    Psc,0.088928,-5.707618,4.61,star
HIP439,HIP 439,0.089883,-37.357364,8.56,star
HIP444,HIP 444,0.089114,-59.814504,8.78,star
HIP445,HIP 445,0.089347,-56.955649,7.42,star
HIP447,HIP 447,0.089502,8.787809,8.26,star
HIP446,HIP 446,0.08949,-79.253751,7.71,star
HIP448,HIP 448,0.089511,3.606092,6.91,star
HIP449,HIP 449,0.089654,-33.499363,9.16,star
HIP450,HIP 450,0.089996,28.543724,8.99,star
HIP451,HIP 451,0.090083,16.329006,8.63,star
HIP452,HIP 452,0.090383,21.5694,9.9,star
HIP453,HIP 453,0.090407,-3.851673,7.59,star
HIP454,HIP 454,0.090672,-14.422192,7.39,star
HIP455,HIP 455,0.090981,76.291567,11.99,star
HIP456,HIP 456,0.091036,-37.302536,7.78,star
HIP457,HIP 457,0.091117,-42.887387,7.47,star
HIP458,HIP 458,0.091178,-7.66542,6.97,star
HIP459,HIP 459,0.091222,-61.225853,8.82,star
HIP460,HIP 460,0.091345,22.224492,9.13,star
HIP461,HIP 461,0.091402,34.10572,7.86,star
HIP462,HIP 462,0.09199,-9.61747,7.13,star
HIP463,HIP 463,0.092217,-35.129738,9.45,star
HIP464,HIP 464,0.092255,-31.967837,12.04,star
