# Deep-sky objects — format: id,name,ra_hours,dec_degrees,magnitude,type
# To expand: replace with OpenNGC CSV (github.com/mattiaverga/OpenNGC)
# Type codes: oc=open cluster  gc=globular cluster  neb=nebula  gal=galaxy  pn=planetary nebula
#
# DSOs from OpenNGC — id,name,ra_hours,dec_degrees,magnitude,type
NGC1487 NED02,NGC 1487,3.929769,-42.368583,11.68,gal
NGC1493,NGC 1493,3.957619,-46.210694,11.44,gal
NGC1494,NGC 1494,3.961917,-48.908083,11.95,gal
NGC1499,California Nebula,4.054006,36.367472,5.0,neb
NGC1501,NGC 1501,4.116492,60.920694,11.5,pn
NGC1511,NGC 1511,3.993606,-67.634250,11.3,gal
NGC1512,NGC 1512,4.065078,-43.348861,10.37,gal
NGC1514,NGC 1514,4.154708,30.775917,10.19,pn
NGC1515,NGC 1515,4.067422,-54.100056,10.99,gal
NGC1518,NGC 1518,4.113811,-21.172639,11.79,gal
NGC1521,NGC 1521,4.138592,-21.051972,11.57,gal
NGC1527,NGC 1527,4.140039,-47.897028,10.8,gal
NGC1530,NGC 1530,4.390861,75.295583,11.7,gal
NGC1532,NGC 1532,4.201203,-32.874222,10.13,gal
NGC1533,NGC 1533,4.164400,-56.118444,10.65,gal
NGC1535,NGC 1535,4.237714,-12.739389,9.6,pn
NGC1537,NGC 1537,4.227975,-31.645417,10.72,gal
NGC1543,NGC 1543,4.212014,-57.737972,10.17,gal
NGC1546,NGC 1546,4.243483,-56.060806,11.35,gal
NGC1549,NGC 1549,4.262536,-55.592250,9.75,gal
NGC1553,NGC 1553,4.269575,-55.780139,9.31,gal
NGC1555,Hind's Nebula,4.366508,19.535167,9.98,neb
NGC1559,NGC 1559,4.293269,-62.783667,10.6,gal
NGC1560,NGC 1560,4.546969,71.883111,11.5,gal
NGC1566,NGC 1566,4.333450,-54.937806,9.73,gal
NGC1569,NGC 1569,4.513628,64.847944,11.11,gal
NGC1573,NGC 1573,4.584442,73.262417,11.79,gal
NGC1574,NGC 1574,4.366339,-56.974750,10.24,gal
NGC1587,NGC 1587,4.511094,0.661583,11.7,gal
NGC1589,NGC 1589,4.512622,0.863667,11.81,gal
NGC1596,NGC 1596,4.460586,-55.027806,11.14,gal
NGC1600,NGC 1600,4.527761,-5.086250,10.97,gal
NGC1617,NGC 1617,4.527647,-54.602278,10.37,gal
NGC1624,NGC 1624,4.676806,50.461667,11.8,oc
NGC1637,NGC 1637,4.691161,-2.857972,10.85,gal
NGC1640,NGC 1640,4.704033,-20.434778,11.69,gal
NGC1653,NGC 1653,4.763153,-2.392833,11.97,gal
NGC1672,NGC 1672,4.761806,-59.247194,10.16,gal
NGC1679,NGC 1679,4.831844,-31.964667,11.62,gal
